snapshot_date,index_code,index_name,ticker,name,market,sector,open,high,low,close,volume,amount,change_pct,bps,per,pbr,eps,div,dps,fwd_per,member_yn,collected_at,source
2026-03-27,1028,KOSPI 200,000080,하이트진로,KOSPI,,16510,16740,16330,16730,132871,2200912080,1.15,16148.0,12.14,1.04,1378.0,,700.0,10.61,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,000100,유한양행,KOSPI,,97900,100400,97100,100400,178711,17696528050,1.41,28030.0,106.47,3.58,943.0,,500.0,42.98,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,000120,CJ대한통운,KOSPI,,107100,108200,104300,108200,41005,4358509350,0.19,197983.0,8.95,0.55,12088.0,,800.0,7.82,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,000150,두산,KOSPI,,1166000,1230000,1132000,1203000,81128,96114039000,-2.91,83153.0,,14.47,,,2000.0,51.34,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,000210,DL,KOSPI,,59400,63100,58300,62600,195279,11916690100,5.39,181662.0,15.86,0.34,3948.0,,1000.0,4.98,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,000240,한국앤컴퍼니,KOSPI,,26450,27000,25800,26900,82234,2175044300,-0.74,47012.0,7.26,0.57,3703.0,,1000.0,4.3,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,000270,기아,KOSPI,,150800,156300,149400,155800,832198,127589700150,0.71,141812.0,6.26,1.1,24893.0,,6500.0,7.0,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,000660,SK하이닉스,KOSPI,,890000,934000,880000,922000,4520942,4088912609600,-1.18,107256.0,32.09,8.6,28732.0,,2204.0,4.79,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,000670,영풍,KOSPI,,60900,60900,58100,59700,49178,2911064950,-1.97,196604.0,,0.3,,,5.0,,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,000720,현대건설,KOSPI,,147400,150600,142600,149800,1149192,168140687850,-1.71,71394.0,,2.1,,,600.0,30.15,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,000810,삼성화재,KOSPI,,443000,445500,432500,443000,192027,84308685250,-2.21,366202.0,9.08,1.21,48779.0,,19000.0,9.84,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,000880,한화,KOSPI,,107100,112800,103900,111500,443414,48004228350,0.36,120412.0,13.37,0.93,8339.0,,800.0,8.94,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,001040,CJ,KOSPI,,198400,207000,197000,206500,114355,23370011500,1.72,162804.0,68.99,1.27,2993.0,,3000.0,14.77,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,001430,세아베스틸지주,KOSPI,,67500,69500,64500,69500,289625,19277379400,-1.0,54089.0,123.23,1.28,564.0,,1200.0,25.86,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,001440,대한전선,KOSPI,,28150,28500,27000,28250,2199656,61060814325,-2.59,7931.0,69.07,3.56,409.0,,0.0,49.99,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,001450,현대해상,KOSPI,,30900,31650,30650,31450,370011,11535790200,0.96,60491.0,2.9,0.52,10847.0,,0.0,4.57,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,001680,대상,KOSPI,,20650,21000,20450,21000,158255,3285139500,1.94,39464.0,7.95,0.53,2642.0,,850.0,7.22,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,001800,오리온홀딩스,KOSPI,,25000,25300,24250,25200,222240,5533049825,-0.98,39410.0,9.44,0.64,2670.0,,800.0,9.69,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,002030,아세아,KOSPI,,276000,279500,266000,278500,4251,1164668000,0.0,689472.0,7.42,0.4,37523.0,,5330.0,,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,002380,KCC,KOSPI,,506000,526000,498500,525000,26648,13612444500,0.0,685232.0,12.43,0.77,42230.0,,10000.0,9.9,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,002790,아모레퍼시픽홀딩스,KOSPI,,27450,29400,27300,29350,194360,5588084575,5.39,37167.0,10.55,0.79,2782.0,,330.0,,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,002840,미원상사,KOSPI,,137500,137500,132000,135800,3671,495338950,-1.24,86039.0,12.59,1.58,10790.0,,2000.0,,True,2026-03-29 23:36:01,krx_data_marketplace
